original	target	ner_tag
西南路招讨使大汉奏近遣拽剌跋剌哥谕党项诸部来者甚众下诏褒美	西南路招讨使大汉奏，近遣拽剌跋剌哥谕党项诸部，来者甚众，下诏褒美。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
别命偏师精兵数千出麦积崖以袭其后则汧岐之下群妖自散	别命偏师精兵数千，出麦积崖以袭其后，则汧岐之下，群妖自散。	[13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 0]
即奏云花马池是臣在边时所区画防守颇严虏必不能入纵入亦不过掳掠彼处自足防御不久自退	即奏云：花马池是臣在边时所区画，防守颇严，虏必不能入；纵入，亦不过掳掠；彼处自足防御，不久自退。	[13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 1, 13, 2, 13, 13, 13, 13, 1, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
南诏蛮见于唐	南诏蛮，见于唐。	[13, 13, 2, 13, 13, 0]
东夷高丽国西与魏虏接界宋末高丽王乐浪公高琏为使持节散骑常侍都督营平二州诸军事车骑大将军开府仪同三司太祖建元元年进号骠骑大将军	东夷高丽国，西与魏虏接界。宋末，高丽王乐浪公高琏为使持节、散骑常侍、都督营平二州诸军事、车骑大将军、开府仪同三司。太祖建元元年，进号骠骑大将军。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 0, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
故颢之言曰自再见周茂叔后吟风弄月以归有吾与点也之意侯师圣学于程颐未悟访敦颐敦颐曰吾老矣说不可不详留对榻夜谈越三日乃还	故颢之言曰：自再见周茂叔后，吟风弄月以归，有吾与点也之意。侯师圣学于程颐，未悟，访敦颐，敦颐曰：吾老矣，说不可不详。留对榻夜谈，越三日乃还。	[13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0, 13, 13, 13, 13, 13, 13, 2, 13, 2, 13, 13, 2, 13, 13, 3, 13, 13, 2, 13, 13, 13, 13, 0, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
真君盛怒曰酷吏不知祸将覆族死且将至犹敢肆毒于人罪在无赦	真君盛怒曰：酷吏不知祸将覆族，死且将至，犹敢肆毒于人。罪在无赦！	[13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0, 13, 13, 13, 12]
精思于天柱山中得石室中九丹金液经能变化万端不可胜记	精思于天柱山中，得石室中《九丹金液经》，能变化万端，不可胜记。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 10, 13, 13, 13, 13, 11, 13, 13, 13, 13, 2, 13, 13, 13, 0]
乙未以后军将军杨运长为宣城太守于是太宗嬖臣无在禁省者矣	乙未，以后军将军杨运长为宣城太守；于是太宗嬖臣无在禁省者矣。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 1, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
辞色自若	辞色自若。	[13, 13, 13, 0]
有诏光议是	有诏光议是。	[13, 13, 13, 13, 0]
诏褒之	诏褒之。	[13, 13, 0]
闰月庚戌朔罗氏鬼国主阿榨西南蕃主韦昌盛并内附诏阿榨韦昌盛各为其地安抚使佩虎符	闰月庚戌朔，罗氏鬼国主阿榨、西南蕃主韦昌盛并内附，诏阿榨、韦昌盛各为其地安抚使，佩虎符。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 0]
道武常以桓王死王事特加亲宠为左将军袭封后为宗师	道武常以桓王死王事，特加亲宠，为左将军，袭封，后为宗师。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 2, 13, 13, 13, 0]
后高祖每岁征幸恂常留守主执庙祀	后高祖每岁征幸，恂常留守，主执庙祀。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
庚寅以征东大将军南安王桢为假节都督凉州及西戎诸军事领护西域校尉仪同三司镇凉州	庚寅，以征东大将军、南安王桢为假节、都督凉州及西戎诸军事、领护西域校尉、仪同三司，镇凉州。	[13, 2, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 8, 13, 13, 13, 2, 13, 13, 0]
曹人使公子负刍守使公子欣时逆曹伯之丧	曹人使公子负刍守，使公子欣时逆曹伯之丧。	[13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
是时董卓威陵天下太祖以问彧彧曰卓暴虐已甚必以乱终无能为也	是时，董卓威陵天下，太祖以问彧，彧曰：卓暴虐已甚，必以乱终，无能为也。	[13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 3, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
金人知镗不可夺驰白其主主叹曰南朝直臣也特命免乐	金人知镗不可夺，驰白其主，主叹曰：南朝直臣也。特命免乐。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 3, 13, 13, 13, 13, 0, 13, 13, 13, 0]
共五里为水塘铺乃饭于庙间	共五里，为水塘铺，乃饭于庙间。	[13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 0]
两请致仕不允	两请致仕，不允。	[13, 13, 13, 2, 13, 0]
不如伐郑而归其君以求成焉	不如伐郑，而归其君以求成焉。	[13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
阳阿奏奇舞京洛出名讴	阳阿奏奇舞，京洛出名讴。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
皇甫谧曰舜所都也	皇甫谧曰：舜所都也。	[13, 13, 13, 3, 13, 13, 13, 0]
庚寅遣王信等使金贺正旦	庚寅，遣王信等使金贺正旦。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 0]
乃因萌求往河西	乃因萌求往河西。	[13, 13, 13, 13, 13, 13, 0]
绍远性宽容有大度望之俨然朋侪莫敢亵狎	绍远性宽容，有大度，望之俨然，朋侪莫敢亵狎。	[13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
匈奴使大将与李陵将三万余骑追汉军至浚稽山合转战九日汉兵陷陈却敌杀伤虏甚众	匈奴使大将与李陵将三万余骑追汉军，至浚稽山合，转战九日，汉兵陷陈却敌，杀伤虏甚众。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
侠惧以告其母	侠惧，以告其母。	[13, 2, 13, 13, 13, 0]
宋奋武将军鲁方平建武将军薛安都等与建威将军柳元景北入军次方伯堆者也	宋奋武将军鲁方平、建武将军薛安都等，与建威将军柳元景北入，军次方伯堆者也。	[13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
因上所著历书与太史令张胄玄多不同被驳不用	因上所著《历书》，与太史令张胄玄多不同，被驳不用。	[13, 13, 13, 10, 13, 11, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
长寿中还授殿中丞坐赃贬同州参军事暴纵自如夺同僚妻又辱其母	长寿中，还授殿中丞，坐赃贬同州参军事，暴纵自如，夺同僚妻，又辱其母。	[13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
时才午雨纷纷不止	时才午，雨纷纷不止。	[13, 13, 2, 13, 13, 13, 13, 0]
弁曰萧氏父子无大功于天下既以逆取不能顺守政令苛碎赋役繁重朝无股肱之臣野有愁怨之民	弁曰：萧氏父子无大功于天下，既以逆取，不能顺守；政令苛碎，赋役繁重；朝无股肱之臣，野有愁怨之民。	[13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 1, 13, 13, 13, 2, 13, 13, 13, 1, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
阴阳之和不长一类甘露时雨不私一物万民之主不阿一人	阴阳之和，不长一类；甘露时雨，不私一物；万民之主，不阿一人。	[13, 13, 13, 2, 13, 13, 13, 1, 13, 13, 13, 2, 13, 13, 13, 1, 13, 13, 13, 2, 13, 13, 13, 0]
虽有城郭而不居恆处穹庐随水草畜牧	虽有城郭而不居，恆处穹庐，随水草畜牧。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 0]
凡书九家四百一十二篇	凡《书》九家，四百一十二篇。	[10, 11, 13, 2, 13, 13, 13, 13, 13, 0]
用之问策安出杞曰曹孟德有言宁我负人无人负我	用之问策安出，杞曰：曹孟德有言：宁我负人，无人负我。	[13, 13, 13, 13, 13, 2, 13, 3, 13, 13, 13, 13, 3, 13, 13, 13, 2, 13, 13, 13, 0]
庚子耶律敌鲁古复封漆水郡王诸将校及阻卜等部酋长各进爵有差	庚子，耶律敌鲁古复封漆水郡王，诸将校及阻卜等部酋长各进爵有差。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
若阴阳调和边境清静然后行子之志吾但当含饴弄孙不能复关政矣	若阴阳调和，边境清静，然后行子之志；吾但当含饴弄孙，不能复关政矣。	[13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 1, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
乃以五色丝作绳结之烧为灰末投水中灰若出水还成绳者病不可愈	乃以五色丝作绳，结之，烧为灰末投水中，灰若出水还成绳者，病不可愈。	[13, 13, 13, 13, 13, 13, 2, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
贞元九年城盐州发卒护境朝晟屯木波堡	贞元九年，城盐州，发卒护境，朝晟屯木波堡。	[13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
百官但赴拜不知何事	百官但赴拜，不知何事。	[13, 13, 13, 13, 2, 13, 13, 13, 0]
书学褚尤尚绮丽媚好	书学褚，尤尚绮丽媚好。	[13, 13, 2, 13, 13, 13, 13, 13, 0]
庚午以司空豫章王嶷为太尉	庚午，以司空豫章王嶷为太尉。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
此五者有一于此则不免于君子之诛而少正卯兼之	此五者，有一于此，则不免于君子之诛，而少正卯兼之。	[13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
丙子始以孟月祭庙	丙子，始以孟月祭庙。	[13, 2, 13, 13, 13, 13, 13, 0]
莒敖公有难柱厉叔辞其友而往死之	莒敖公有难，柱厉叔辞其友而往死之。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
至昫为仆射自以由宰相罢与道同乃随道出入有司不能弹正而议者多窃笑之	至昫为仆射，自以由宰相罢，与道同，乃随道出入，有司不能弹正，而议者多窃笑之。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
即位大封功臣第福为首	即位，大封功臣，第福为首。	[13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
二月己亥奚王劳骨宁率六节度使朝贡	二月己亥，奚王劳骨宁率六节度使朝贡。	[13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
诏以毅为都督淮南等五郡军事豫州刺史何无忌为都督江东五郡军事会稽内史	诏以毅为都督淮南等五郡军事、豫州刺史，何无忌为都督江东五郡军事、会稽内史。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 0]
故天子臧珠玉诸侯臧金石大夫畜狗马百姓臧布帛	故天子臧珠玉，诸侯臧金石，大夫畜狗马，百姓臧布帛。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
北军万里远斗锋不可当	北军万里远斗，锋不可当。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
九月又分还治历阳	九月又分，还治历阳。	[13, 13, 13, 2, 13, 13, 13, 0]
贼臣正德阻兵安忍	贼臣正德，阻兵安忍。	[13, 13, 13, 2, 13, 13, 13, 0]
河清三年五月白虹围日再重又横贯而不达	河清三年五月，白虹围日再重，又横贯而不达。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
官军追之急贼复南攻六安	官军追之急，贼复南攻六安。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
盖清明礼行于春所谓雨露既濡君子履之有怵惕之心者也	盖清明礼行于春，所谓雨露既濡，君子履之，有怵惕之心者也。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
遂与抚掌而笑	遂与抚掌而笑。	[13, 13, 13, 13, 13, 0]
子升外恬静与物无竞言有准的不妄毁誉而内深险	子升外恬静，与物无竞，言有准的，不妄毁誉，而内深险。	[13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
越至榆林遣游击将军许宁出西路龙州镇靖诸堡范瑾出东路神木镇羌诸堡而自与中官秦刚按榆林城为声援	越至榆林，遣游击将军许宁出西路龙州、镇靖诸堡，范瑾出东路神木、镇羌诸堡，而自与中官秦刚按榆林城为声援。	[13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
前此已诏天下兵屯溵水禁贼北走	前此已诏天下兵屯溵水，禁贼北走。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
迁司空公侍中如故	迁司空公，侍中如故。	[13, 13, 13, 2, 13, 13, 13, 0]
又北过朔方临戎县西河水东北径三封县故城东	又北过朔方临戎县西，河水东北径三封县故城东。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
其中多脩辟之鱼状如黾而白喙其音如鸱食之已白癣	其中多脩辟之鱼，状如黾而白喙，其音如鸱，食之已白癣。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 0]
大用驻临清召边将许泰郤永江彬刘晖等入内地听调遣	大用驻临清，召边将许泰、郤永、江彬、刘晖等入内地，听调遣。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 8, 13, 8, 13, 8, 13, 13, 13, 13, 13, 2, 13, 13, 0]
上难遣矩行矩请速进上许之	上难遣矩行，矩请速进，上许之。	[13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 0]
而荣怒齐之立假乃引兵归击逐假	而荣怒齐之立假，乃引兵归，击逐假。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 0]
惟予小子嗣守文武成康遗绪亦惟先正之臣克左右乱四方	惟予小子嗣守文、武、成、康遗绪，亦惟先正之臣，克左右乱四方。	[13, 13, 13, 13, 13, 13, 8, 8, 8, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
尚寝局领司四司设司舆司苑司灯	尚寝局，领司四：司设，司舆，司苑，司灯。	[13, 13, 2, 13, 13, 3, 13, 2, 13, 2, 13, 2, 13, 0]
景云三年又降制曰故左仆射齐国公魏元忠代协人望时称国良	景云三年，又降制曰：故左仆射、齐国公魏元忠，代协人望，时称国良。	[13, 13, 13, 2, 13, 13, 13, 3, 13, 13, 13, 8, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
俄为从事中郎	俄为从事中郎。	[13, 13, 13, 13, 13, 0]
庚子以剑南节度留后崔圆为剑南节度等副大使	庚子，以剑南节度留后崔圆为剑南节度等副大使。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
明帝初生丰下兑上赤色似尧终登帝位	明帝初生，丰下兑上，赤色似尧，终登帝位。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
自古乱亡之国必先坏其法制而后乱从之	自古乱亡之国，必先坏其法制而后乱从之。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
桑哥后以所营息钱进和礼霍孙曰我初不悟此也	桑哥后以所营息钱进，和礼霍孙曰：我初不悟此也。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 0]
甲申朱大典督军救莱州前锋参将祖宽败贼于沙河	甲申，朱大典督军救莱州，前锋参将祖宽败贼于沙河。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
赤眉虽数战胜而疲敝厌兵皆日夜愁泣思欲东归	赤眉虽数战胜，而疲敝厌兵，皆日夜愁泣，思欲东归。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 0]
含水喷之皆成珠玉亦不变	含水喷之，皆成珠玉，亦不变。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 0]
融问弁曰秦西冀北实多骏骥而彼所献乃驽骀之不若求名检事殊为未知	融问弁曰：秦西冀北，实多骏骥，而彼所献，乃驽骀之不若，求名检事，殊为未知。	[13, 13, 13, 3, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
岂可纵此无益同之儿女伤神损识或亏生务	岂可纵此无益，同之儿女，伤神损识，或亏生务。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
义乡令故属长城阳羡立郡分立	义乡令，故属长城、阳羡，立郡分立。	[13, 13, 2, 13, 13, 13, 8, 13, 2, 13, 13, 13, 0]
刘毅上疏曰必有阿党之臣奸以事君者当诛而不赦也	刘毅上疏曰：必有阿党之臣，奸以事君者，当诛而不赦也。	[13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
幕僚裴向摄州事诣贵先责以逆顺之理贵先感寤遂请降同州由是获全	幕僚裴向摄州事，诣贵先，责以逆顺之理，贵先感寤，遂请降，同州由是获全。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 0]
以十改八者将以未备夺已备也	以十改八者，将以未备夺已备也。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
虽以才学遇之而谓其诞肆非治民才许而不用	虽以才学遇之，而谓其诞肆，非治民才，许而不用。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
会贵其直不合寺僧祈酬	会贵其直，不合寺僧祈酬。	[13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
刘文喜又不受诏欲自邀旌节夏四月乙未朔据泾州叛遣其子质于吐蕃以求援	刘文喜又不受诏，欲自邀旌节；夏，四月，乙未朔，据泾州叛，遣其子质于吐蕃以求援。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 1, 2, 13, 2, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
曾子问曰诸侯之祭社稷俎豆既陈闻天子崩后之丧君薨夫人之丧如之何	曾子问曰：诸侯之祭社稷，俎豆既陈，闻天子崩、后之丧、君薨、夫人之丧，如之何？	[13, 13, 13, 3, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 8, 13, 13, 8, 13, 8, 13, 13, 13, 2, 13, 13, 9]
既讫张以含胎马奔奉之巫曰神只许其母子即奉还	既讫，张以含胎马奔奉之，巫曰：神只许其母，子即奉还。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 3, 13, 13, 13, 13, 2, 13, 13, 13, 0]
太白犯五诸侯	太白犯五诸侯。	[13, 13, 13, 13, 13, 0]
伶大笑之	伶大笑之。	[13, 13, 13, 0]
己巳御集英殿策进士	己巳，御集英殿策进士。	[13, 2, 13, 13, 13, 13, 13, 13, 0]
泰始二年八月诏曰此上旬先帝弃天下日也便以周年	泰始二年八月，诏曰：此上旬，先帝弃天下日也，便以周年。	[13, 13, 13, 13, 13, 2, 13, 3, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
以天道人事论之殆虚言也	以天道人事论之，殆虚言也。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
辛巳定州将杨伯玉诱三军为乱拘行军司马任迪简	辛巳，定州将杨伯玉诱三军为乱，拘行军司马任迪简。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
或言原吉建文时用事不可信	或言原吉建文时用事，不可信。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 0]
今吴楚反於公何如	今吴楚反，於公何如？	[13, 13, 13, 2, 13, 13, 13, 9]
李与判监楚衍推步日月蚀遂加蚀限二刻李补司天学生	李与判监楚衍推步日月蚀，遂加蚀限二刻；李补司天学生。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 1, 13, 13, 13, 13, 13, 0]
及起行土人复欲走果化不肯走都结即迂往其村亦不肯送	及起行，土人复欲走果化，不肯走都结，即迂往其村，亦不肯送。	[13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 0]
闻平乐以下四顾皆土山而巉厉之石不挺于陆而藏于水矣	闻平乐以下，四顾皆土山，而巉厉之石，不挺于陆而藏于水矣。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 0]
德兄子超袭伪位伯父遵父苗复见委任遵为尚书苗京兆太守	德兄子超袭伪位，伯父遵、父苗复见委任。遵为尚书，苗京兆太守。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 8, 13, 13, 13, 13, 13, 0, 13, 13, 13, 2, 13, 13, 13, 13, 0]
云梦之竹天下之劲也然而不矫揉不羽括则不能以入坚棠溪之金天下之利也然而不熔范不砥砺则不能以击强	云梦之竹，天下之劲也，然而不矫揉，不羽括，则不能以入坚；棠溪之金，天下之利也，然而不熔范，不砥砺，则不能以击强。	[13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 1, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 0]
今使边郡久废耕织以支胡之常事其势不相权也	今使边郡久废耕织，以支胡之常事，其势不相权也。	[13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
贵人潜怒向夕帝醉遂暴崩	贵人潜怒，向夕，帝醉，遂暴崩。	[13, 13, 13, 2, 13, 2, 13, 2, 13, 13, 0]
乃以兗王岐为灵夏等六道元帅兼安抚党项大使又以御史中丞李回为安抚党项副使史馆修撰郑亚为元帅判官令赍诏往安抚党项及六镇百姓	乃以兗王岐为灵、夏等六道元帅兼安抚党项大使，又以御史中丞李回为安抚党项副使，史馆修撰郑亚为元帅判官，令赍诏往安抚党项及六镇百姓。	[13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
既天下草创边徼未安州人焦僧护聚衆数万据郫繁作乱	既天下草创，边徼未安，州人焦僧护聚衆数万，据郫、繁作乱。	[13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 8, 13, 13, 0]
少聚徒为盗乡里患之符彦超遣人以赂招置麾下	少聚徒为盗，乡里患之，符彦超遣人以赂招置麾下。	[13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
遂不为杀	遂不为杀。	[13, 13, 13, 0]
邕之文于碑颂是所长人奉金帛请其文前后所受钜万计	邕之文，于碑颂是所长，人奉金帛请其文，前后所受钜万计。	[13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
式与梁太祖有旧因请入梁军	式与梁太祖有旧，因请入梁军。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
叔孙通希世度务制礼进退与时变化卒为汉家儒宗大直若诎道固委蛇盖谓是乎	叔孙通希世度务，制礼进退，与时变化，卒为汉家儒宗。大直若诎，道固委蛇，盖谓是乎？	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 9]
涉曰尹君何一鱼肉涉也	涉曰：尹君，何一鱼肉涉也！	[13, 3, 13, 2, 13, 13, 13, 13, 13, 12]
素云只论无梯若论有梯何须更问	素云：只论无梯，若论有梯，何须更问。	[13, 3, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
诸臣畏谴督趣倍严	诸臣畏谴，督趣倍严。	[13, 13, 13, 2, 13, 13, 13, 0]
对曰晋卿不若楚其大夫则贤其大夫皆卿材也	对曰：晋卿不若楚，其大夫则贤，其大夫皆卿材也。	[13, 3, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
从征刘义隆至江	从征刘义隆，至江。	[13, 13, 13, 13, 2, 13, 0]
